,edad-actual,edad-morir,hijes-tenes,gestacion-aborto,gestacion-persona,genero-coincide,morir-cuerpo,morir-redes,miedo-propia,miedo-resto,muerte-experiencia,muerte-eutanasia,firstTime,hijes-gustaria,hijes-volveria
188,21,86,0,21,42,100,36,0,81,71,29,100,True,63.0,
189,35,116,0,11,14,100,100,0,70,89,100,74,True,99.0,
190,22,60,0,14,21,39,0,0,0,100,51,100,True,70.0,
191,23,100,0,12,20,100,100,24,100,100,79,61,True,100.0,
192,25,85,0,22,42,100,0,0,53,100,0,100,True,94.0,
193,40,80,0,42,42,70,0,0,0,100,0,100,True,39.0,
194,39,90,1,15,40,100,0,0,88,100,0,100,True,,100.0
195,25,100,0,42,42,83,0,0,100,100,0,100,True,30.0,
196,33,90,1,42,42,100,100,0,91,100,0,100,True,,100.0
197,32,76,1,4,42,100,0,0,28,100,100,100,True,,100.0
198,18,75,0,42,42,88,55,0,0,89,0,100,True,0.0,
199,30,94,0,10,12,100,32,19,49,68,41,100,True,100.0,
200,25,75,0,22,42,100,21,0,32,61,0,100,True,41.0,
201,38,85,0,20,42,78,0,0,50,71,22,76,True,50.0,
202,27,90,0,8,16,100,0,0,87,100,20,100,True,100.0,
203,29,85,0,6,9,100,100,100,69,100,0,100,True,100.0,
204,31,103,0,16,42,100,0,0,15,35,0,100,True,78.0,
205,26,90,0,21,21,35,16,100,55,100,100,100,True,3.0,
206,34,91,0,16,42,87,41,1,53,67,2,100,True,30.0,
207,41,91,1,42,24,79,0,32,0,72,47,100,True,,5.0
208,25,44,0,24,42,100,0,59,0,100,74,100,True,0.0,
209,32,95,0,16,30,51,23,11,13,90,100,88,True,0.0,
210,33,101,0,6,1,100,51,0,6,0,100,100,True,100.0,
211,31,79,0,4,4,100,32,35,11,37,36,100,True,96.0,
212,21,80,0,13,25,94,22,0,51,89,27,100,True,37.0,
213,21,65,0,12,0,100,0,0,0,100,0,100,True,0.0,
214,40,90,1,22,31,97,8,0,73,100,0,100,True,,100.0
215,44,45,1,4,36,100,0,0,0,100,27,100,True,,100.0
216,47,84,1,10,30,100,26,0,78,83,56,93,True,,88.0
217,17,85,0,42,42,100,100,0,100,69,100,57,True,100.0,
218,32,101,0,11,21,91,21,11,33,88,79,100,True,100.0,
219,25,75,0,20,42,71,0,0,0,76,0,100,True,0.0,
220,22,130,0,14,42,100,0,0,78,61,32,100,True,76.0,
221,29,35,0,14,42,100,100,0,0,0,100,100,True,0.0,
222,26,90,0,24,42,100,0,0,74,20,47,70,True,61.0,
223,28,80,0,16,36,100,21,72,49,85,0,100,True,46.0,
224,29,90,0,20,42,100,0,0,100,100,50,100,True,0.0,
225,36,65,0,42,42,100,0,0,32,100,0,100,True,0.0,
226,29,85,0,30,42,84,0,0,52,67,6,100,True,50.0,
227,16,78,0,0,0,100,83,25,10,100,100,51,True,98.0,
228,43,97,1,13,13,73,1,0,63,85,0,92,True,,100.0
229,32,97,0,8,36,100,12,0,74,25,17,100,True,64.0,
230,25,85,0,24,30,100,0,0,25,0,0,100,True,100.0,
231,24,93,0,37,42,51,100,73,64,100,100,100,True,76.0,
232,26,130,0,14,42,100,0,0,100,100,0,100,True,77.0,
233,33,86,1,8,42,100,47,19,31,64,59,100,True,,100.0
234,33,80,0,39,39,96,0,1,30,69,15,100,True,17.0,
235,24,130,0,42,42,32,0,100,100,100,22,100,True,16.0,
236,33,75,1,40,42,100,0,60,57,73,0,100,True,,38.0
237,41,85,1,8,0,100,0,0,52,70,0,100,True,,100.0
238,25,30,0,42,42,49,0,100,33,69,100,100,True,1.0,
239,32,80,0,16,42,100,0,0,11,19,0,100,True,0.0,
240,34,55,0,24,42,92,0,0,22,80,0,98,True,0.0,
241,20,80,0,11,31,89,62,0,58,97,82,92,True,72.0,
242,24,100,0,16,42,100,0,0,60,100,0,69,True,100.0,
243,28,104,0,20,42,52,0,0,45,80,48,100,True,51.0,
244,32,90,1,4,4,100,0,0,0,0,100,100,True,,0.0
245,57,85,1,14,15,100,0,0,76,100,83,89,True,,22.0
246,29,95,0,0,20,100,100,0,20,71,100,0,True,100.0,
247,37,85,0,12,42,100,23,60,21,65,0,100,True,30.0,
248,29,75,0,13,14,100,0,0,19,80,48,100,True,55.0,
249,25,76,0,42,42,79,0,0,0,0,0,100,True,65.0,
250,21,90,0,14,42,89,0,0,15,76,21,100,True,100.0,
251,24,85,0,20,42,60,18,47,100,75,48,100,True,0.0,
252,28,60,0,12,42,100,0,0,51,100,0,100,True,24.0,
253,40,110,0,42,30,100,0,0,9,47,10,100,True,0.0,
254,33,80,0,24,42,75,69,0,0,78,71,100,True,0.0,
255,27,85,0,18,42,100,0,0,83,100,15,100,True,58.0,
256,31,80,0,42,42,0,0,0,23,100,0,100,True,12.0,
257,35,93,0,14,40,100,10,59,41,72,76,100,True,60.0,
